candidate_id,source_run_id,operation,execution_gas,standard_intrinsic,eip7623_floor,eip7623_total,eip7976_floor,eip7976_total,eip8311_floor,eip8311_total,tx_cap_margin,runtime_bytes,initcode_bytes,deployment_gas,artifact_path,artifact_sha256
V6,research-sp31-v6-isolated-benchmark,incrementalGas,5005,,,,,,,,,,,,research/runs/research-sp31-v6-isolated-benchmark.json,0e89b2cd45872f1d229f513a52aa60227af192981602d9d665c182ee7c5cef98
V7,research-sp31-v7-isolated-benchmark,exactFrontierGas,257975,,,,,,,,,,,,research/runs/research-sp31-v7-isolated-benchmark.json,028f98386930780b1ccce8b90219d6005d2852e317012787c6d3a308baab4c46
V8,research-sp31-v8-isolated-benchmark,packed31Bytes,992,,,,,,,,,,,,research/runs/research-sp31-v8-isolated-benchmark.json,a6e71326014dda16cf96bd2825ae2c9dcafdbdf9b20a5d300e07131ab1e67d72
V8,research-sp31-v8-isolated-benchmark,section31Gas,238092,,,,,,,,,,,,research/runs/research-sp31-v8-isolated-benchmark.json,a6e71326014dda16cf96bd2825ae2c9dcafdbdf9b20a5d300e07131ab1e67d72
V8,research-sp31-v8-isolated-benchmark,u32Bytes,1024,,,,,,,,,,,,research/runs/research-sp31-v8-isolated-benchmark.json,a6e71326014dda16cf96bd2825ae2c9dcafdbdf9b20a5d300e07131ab1e67d72
V8,research-sp31-v8-isolated-benchmark,unpack31Gas,237632,,,,,,,,,,,,research/runs/research-sp31-v8-isolated-benchmark.json,a6e71326014dda16cf96bd2825ae2c9dcafdbdf9b20a5d300e07131ab1e67d72
V8,research-sp31-v8-isolated-benchmark,unpack32Gas,175167,,,,,,,,,,,,research/runs/research-sp31-v8-isolated-benchmark.json,a6e71326014dda16cf96bd2825ae2c9dcafdbdf9b20a5d300e07131ab1e67d72
V9,research-sp31-v9-isolated-benchmark,airA.10.maxGas,13623798,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airA.12.maxGas,14046222,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airA.13.maxGas,14257434,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airA.14.maxGas,14468646,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airA.15.maxGas,14679858,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airA.16.maxGas,14891070,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airA.8.maxGas,14046069,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.10.maxGas,16487292,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.12.maxGas,16064868,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.13.maxGas,15853656,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.14.maxGas,15642444,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.15.maxGas,15431232,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.16.maxGas,15220020,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
V9,research-sp31-v9-isolated-benchmark,airB.8.maxGas,16909716,,,,,,,,,,,,research/runs/research-sp31-v9-isolated-benchmark.json,dc4ebceb6a6b98f9c7d1ba29ef3b4a1db159b0c2b0a82dbbe66a5d3187877606
F0,research-sp40-f0-field-benchmark,F0/op0/n1,13981,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op1/n1,9050,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op10/n1,2553679,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op11/n1,271721,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op12/n1,12066,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op13/n128,1215869,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op13/n256,2439252,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op13/n32,310468,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op13/n64,611112,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op14/n16,42700,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
F0,research-sp40-f0-field-benchmark,F0/op14/n32,68859,,,,,,,,,,,,research/runs/research-sp40-f0-field-benchmark.json,2365b88eeb5454d116ae12ddaebf7a2f140af5337f9d9d423d7f3cb34f67ce4e
