regime,transaction,kind,component,gas,receipt_success,evidence
capped,0xaada746017b64f0f04005e44cd6f66b3babc9324791aed5f30a67d12f888bedb,total_not_additive,receipt_gas,16425128,False,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,air_evaluation,2829504,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,alpha_opening_aggregates,1441000,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,checkpoint_storage_deletion,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,compiler_shared_or_unmapped,2707,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,constructor_hashing,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,constructor_storage,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,fri_arithmetic,127723,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,inverse_calculations,1485448,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,mmcs_hashing_paths,2807125,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,nullifier_write,0,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
high_gas_measurement_control,0xafc486467538d9b38e38771683bf674908151b034bfb3ff39140c2652c86a3cc,exclusive_receipt_component,ood_quotient,14331,True,research/r2/baseline/outputs/r2-main/local/retained-attempt-02/transaction-results.json
